,TFIDF3
transformer,0.001237351714414485
selfattention,0.0011047783164415048
translation,0.0010163960511261844
encoder,0.0009280137858108639
recurrent,0.0008838226531532037
decoder,0.0008838226531532037
layer,0.0006419342015987225
sequence,0.0006235932244101876
dk,0.0006186758572072425
arxiv,0.0005502293156560478
thelawwillneverbeperfectbutitsapplicationshouldbejustthisiswhatwearemissinginmyopinioneospad,0.0005302935918919222
heads,0.0004861024592342621
wsj,0.0004861024592342621
bleu,0.0004861024592342621
positional,0.0004419113265766018
layers,0.0004218424753363034
positions,0.00040350149814776844
dependencies,0.00039772019391894173
dotproduct,0.00039772019391894173
multihead,0.00039772019391894173
transduction,0.00039772019391894173
keys,0.00039772019391894173
tokens,0.00039772019391894173
wmt,0.00035352906126128147
dmodel,0.00035352906126128147
operations,0.00035352906126128147
computation,0.00035352906126128147
kaiser,0.00030933792860362127
dot,0.00030933792860362127
computational,0.00030933792860362127
dropout,0.00030933792860362127
inputinput,0.00030933792860362127
sentence,0.00030933792860362127
queries,0.00030933792860362127
memory,0.00030933792860362127
preprint,0.00029345563501655884
length,0.0002751146578280239
abs,0.0002651467959459611
identical,0.0002651467959459611
gpus,0.0002651467959459611
englishtogerman,0.0002651467959459611
sublayers,0.0002651467959459611
english,0.0002651467959459611
mechanisms,0.0002651467959459611
mechanism,0.0002651467959459611
acl,0.0002651467959459611
vinyals,0.0002651467959459611
convolutions,0.0002651467959459611
encoderdecoder,0.0002651467959459611
sublayer,0.0002651467959459611
attend,0.0002651467959459611
corr,0.0002651467959459611
parsing,0.0002651467959459611
scaled,0.0002651467959459611
softmax,0.0002651467959459611
maximum,0.0002651467959459611
yoshua,0.0002209556632883009
were,0.0002209556632883009
luong,0.0002209556632883009
sequences,0.0002209556632883009
englishtofrench,0.0002209556632883009
stack,0.0002209556632883009
beam,0.0002209556632883009
path,0.0002209556632883009
quoc,0.0002209556632883009
discriminative,0.0002209556632883009
representations,0.00020175074907388422
connections,0.00017676453063064074
noam,0.00017676453063064074
dimensionality,0.00017676453063064074
convss,0.00017676453063064074
recurrence,0.00017676453063064074
examples,0.00017676453063064074
employ,0.00017676453063064074
encodings,0.00017676453063064074
brain,0.00017676453063064074
ilya,0.00017676453063064074
constituency,0.00017676453063064074
entirely,0.00017676453063064074
zhu,0.00017676453063064074
parallel,0.00017676453063064074
attentions,0.00017676453063064074
compatibility,0.00017676453063064074
big,0.00016506879469681436
convolutional,0.00016506879469681436
trained,0.00016506879469681436
google,0.00014672781750827942
conference,0.00014672781750827942
semisupervised,0.00014672781750827942
kyunghyun,0.00013257339797298056
minhthang,0.00013257339797298056
jakob,0.00013257339797298056
ukasz,0.00013257339797298056
paths,0.00013257339797298056
petrov,0.00013257339797298056
oriol,0.00013257339797298056
sequencetosequence,0.00013257339797298056
rnn,0.00013257339797298056
normalization,0.00013257339797298056
convolution,0.00013257339797298056
nearly,0.00013257339797298056
longrange,0.00013257339797298056
prevent,0.00013257339797298056
geoffrey,0.00013257339797298056
longer,0.00013257339797298056
alex,0.00013257339797298056
separable,0.00013257339797298056
shortterm,0.00013257339797298056
dyer,0.00013257339797298056
cho,0.00013257339797298056
inference,0.00013257339797298056
constant,0.00013257339797298056
reduced,0.00013257339797298056
involved,0.00013257339797298056
warmupsteps,0.00013257339797298056
fraction,0.00013257339797298056
codebase,0.00013257339797298056
newstest,0.00013257339797298056
shazeer,0.00013257339797298056
composed,0.00013257339797298056
bytenet,0.00013257339797298056
bytepair,0.00013257339797298056
pdrop,0.00013257339797298056
head,0.00013257339797298056
lengths,0.00013257339797298056
stacks,0.00013257339797298056
symbol,0.00013257339797298056
long,0.00012838684031974448
learned,0.00012838684031974448
architecture,0.00012838684031974448
single,0.00012838684031974448
complexity,0.00012838684031974448
residual,0.00011004586313120958
instead,0.00011004586313120958
bengio,0.00011004586313120958
previously,0.00011004586313120958
cost,0.00011004586313120958
sentences,0.00011004586313120958
significantly,9.170488594267464e-05
pairs,9.170488594267464e-05
le,9.170488594267464e-05
feedforward,9.170488594267464e-05
architectures,9.170488594267464e-05
hidden,9.170488594267464e-05
during,9.170488594267464e-05
proceedings,9.170488594267464e-05
sutskever,9.170488594267464e-05
quality,9.170488594267464e-05
gated,8.838226531532037e-05
singlehead,8.838226531532037e-05
eposi,8.838226531532037e-05
accurate,8.838226531532037e-05
naacl,8.838226531532037e-05
symbols,8.838226531532037e-05
distant,8.838226531532037e-05
sepp,8.838226531532037e-05
linguistics,8.838226531532037e-05
approximately,8.838226531532037e-05
mike,8.838226531532037e-05
batching,8.838226531532037e-05
annual,8.838226531532037e-05
jimmy,8.838226531532037e-05
successfully,8.838226531532037e-05
resolution,8.838226531532037e-05
aligned,8.838226531532037e-05
beneficial,8.838226531532037e-05
masking,8.838226531532037e-05
offset,8.838226531532037e-05
grammar,8.838226531532037e-05
aidan,8.838226531532037e-05
jrgen,8.838226531532037e-05
tensortensor,8.838226531532037e-05
endtoend,8.838226531532037e-05
eight,8.838226531532037e-05
kalchbrenner,8.838226531532037e-05
checkpoints,8.838226531532037e-05
costs,8.838226531532037e-05
ologkn,8.838226531532037e-05
meeting,8.838226531532037e-05
ls,8.838226531532037e-05
englishfrench,8.838226531532037e-05
fixed,8.838226531532037e-05
rnns,8.838226531532037e-05
source,8.838226531532037e-05
took,8.838226531532037e-05
seconds,8.838226531532037e-05
yonghui,8.838226531532037e-05
connect,8.838226531532037e-05
xn,8.838226531532037e-05
overfitting,8.838226531532037e-05
problems,8.838226531532037e-05
replace,8.838226531532037e-05
onr,8.838226531532037e-05
generalizes,8.838226531532037e-05
consisting,8.838226531532037e-05
chose,8.838226531532037e-05
rdmodeldk,8.838226531532037e-05
uszkoreit,8.838226531532037e-05
hurts,8.838226531532037e-05
enfr,8.838226531532037e-05
illia,8.838226531532037e-05
david,8.838226531532037e-05
deepatt,8.838226531532037e-05
posunk,8.838226531532037e-05
difficult,8.838226531532037e-05
yielding,8.838226531532037e-05
dev,8.838226531532037e-05
hochreiter,8.838226531532037e-05
structured,8.838226531532037e-05
romain,8.838226531532037e-05
projections,8.838226531532037e-05
minimum,8.838226531532037e-05
countless,8.838226531532037e-05
optimizer,8.838226531532037e-05
rl,8.838226531532037e-05
ashish,8.838226531532037e-05
schmidhuber,8.838226531532037e-05
constraints,8.838226531532037e-05
convert,8.838226531532037e-05
counteract,8.838226531532037e-05
selftraining,8.838226531532037e-05
gpu,8.838226531532037e-05
transformation,8.838226531532037e-05
mcclosky,8.838226531532037e-05
harper,8.838226531532037e-05
august,8.838226531532037e-05
grammars,8.838226531532037e-05
transformations,8.838226531532037e-05
parallelization,8.838226531532037e-05
perplexities,8.838226531532037e-05
graves,8.838226531532037e-05
varied,8.838226531532037e-05
parser,8.838226531532037e-05
schuster,8.838226531532037e-05
sublayerx,8.838226531532037e-05
niki,8.838226531532037e-05
tricks,8.838226531532037e-05
relying,8.838226531532037e-05
sinusoidal,8.838226531532037e-05
row,8.838226531532037e-05
phrase,8.838226531532037e-05
ende,8.838226531532037e-05
flow,8.838226531532037e-05
llion,8.838226531532037e-05
treebank,8.838226531532037e-05
could,8.838226531532037e-05
penn,8.838226531532037e-05
involving,8.838226531532037e-05
wordpiece,8.838226531532037e-05
interpretable,8.838226531532037e-05
code,8.838226531532037e-05
el,8.838226531532037e-05
combination,8.838226531532037e-05
gnmt,8.838226531532037e-05
cao,8.838226531532037e-05
visualizations,8.838226531532037e-05
left,8.838226531532037e-05
lukasz,8.838226531532037e-05
reading,8.838226531532037e-05
right,8.838226531532037e-05
macherey,8.838226531532037e-05
summarization,8.838226531532037e-05
listed,8.838226531532037e-05
required,8.838226531532037e-05
ok,8.838226531532037e-05
packed,8.838226531532037e-05
implemented,7.336390875413971e-05
ensembles,7.336390875413971e-05
vocabulary,7.336390875413971e-05
deep,7.336390875413971e-05
restricted,7.336390875413971e-05
hinton,7.336390875413971e-05
products,7.336390875413971e-05
state,7.336390875413971e-05
development,7.336390875413971e-05
query,7.336390875413971e-05
averaging,7.336390875413971e-05
days,7.336390875413971e-05
dv,7.336390875413971e-05
outputs,7.336390875413971e-05
apply,7.336390875413971e-05
faster,5.502293156560479e-05
allow,5.502293156560479e-05
rows,5.502293156560479e-05
addition,5.502293156560479e-05
ensemble,5.502293156560479e-05
across,5.502293156560479e-05
structure,5.502293156560479e-05
simple,5.502293156560479e-05
word,5.502293156560479e-05
